Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
1/7/2000,11,2.23,53,0,25.3,33.895,2.11
1/8/2000,11.21,2.91,73.3,0,28.3,34.022,0.28
1/9/2000,17.95,0.19,3,0,0,33.622,5.64
1/10/2000,17.91,0.19,3,0,0,33.621,5.66
1/11/2000,17.55,0.18,3,0,0,33.616,5.83
1/12/2000,17.18,0.16,3,0,0,33.612,5.89
1/13/2000,16.57,0.24,4,0,0,33.61,5.89
1/14/2000,15.43,0.3,4.4,0.02,0.2,33.619,5.67
1/15/2000,14.77,0.4,6,0.05,0.7,33.627,5.43
1/16/2000,13.78,0.54,10.5,0.02,3.7,33.685,4.94
1/17/2000,12.23,1.18,22.6,0,12,33.788,3.93
1/18/2000,11.61,1.69,37.4,0,20.3,33.888,2.93
1/19/2000,17.73,0.29,5,0,0.1,33.63,5.74
1/20/2000,17.05,0.29,4,0,0.1,33.63,5.77
1/21/2000,13.38,0.4,7,0.05,1.8,33.57,5.89
1/22/2000,11.34,0.88,16,0.06,9,33.59,5.1
1/23/2000,9.1,2.06,58,0,27.6,34,2.71
4/7/2000,8.71,2.16,73,0,30.5,34.14,2.53
4/8/2000,16.54,0.29,3,0,0.3,33.53,5.81
4/9/2000,16.54,0.29,3,0,0.3,33.53,6.19
4/10/2000,13.87,0.61,4,0,0.4,33.41,4.89
4/11/2000,11.5,0.96,18,0.13,10.1,33.44,3.82
4/12/2000,8.86,1.76,53,0,26.4,33.92,2.32
4/13/2000,8.53,2.24,74,0,31,34.13,1.83
4/14/2000,16.21,0.32,6,0,0.3,33.67,5.97
4/15/2000,16.21,0.43,6,0,0.3,33.67,6.02
4/16/2000,13.62,0.45,12,0.11,4,33.54,6.02
4/17/2000,11.52,1.47,24,0.44,13.1,33.56,4.69
4/18/2000,8.71,2.32,71,0,30,34.07,2.53
4/19/2000,8.34,2.56,86,0,32.4,34.14,1.81
4/20/2000,15.46,0.51,16,0,0.6,33.6,6.02
4/21/2000,14.24,0.56,16,0,1.3,33.6,5.97
4/22/2000,10.46,1.58,36,0.02,18.7,33.72,3.69
6/29/2000,9.88,1.92,52,0,24.7,33.94,2.76
6/30/2000,9.35,2.35,74,0,27.5,34.2,2.01
7/1/2000,8.87,2.46,85,0,30.5,34.23,1.72
7/2/2000,16.87,0.21,5,0,0.1,33.58,5.85
7/3/2000,16.85,0.35,5,0,0,33.57,5.85
7/4/2000,13.08,0.35,5,0,0,33.49,6.2
7/5/2000,11.25,0.64,14,0,7,33.54,5.52
7/6/2000,9.7,1.92,62,0,23.8,34.09,2.41
7/7/2000,8.92,2.08,75,0,25.4,34.15,2.52
7/8/2000,16.8,0.21,3,0,0,33.56,5.76
7/9/2000,16.76,0.32,3,0,0,33.56,5.76
7/10/2000,14.11,0.32,6,0,0,33.44,6.03
7/10/2000,11.54,0.83,19,0.34,4.4,33.46,4.77
7/11/2000,9.38,1.87,64,0,23.5,34.13,2.44
7/12/2000,8.57,2.11,78,0.06,26.6,34.13,2.25
7/13/2000,16.31,0.35,4,0,0.7,33.57,6
10/12/2000,16.09,0.32,4,0,0.6,33.62,6
10/13/2000,13.8,0.51,9,0,2.2,33.53,6.12
10/14/2000,9.08,1.79,54,0,21.6,33.93,3.23
10/15/2000,8.53,2.27,80,0,26.3,34.14,2.27
10/16/2000,16.99,0.27,3,0,0.3,33.48,5.74
10/17/2000,16.98,0.32,3,0,0.3,33.49,5.75
10/18/2000,15.4,0.32,3,0,0.3,33.46,5.96
10/19/2000,9.9,1.87,48,0,24,33.99,2.97
10/20/2000,9.41,2.16,64,0,28,34.15,2.42
10/21/2000,17.35,0.27,3,0,0.3,33.44,5.78
10/23/2000,16.73,0.27,3,0,0.3,33.41,5.81
10/24/2000,14.07,0.32,4,0,0.6,33.38,6.46
10/25/2000,13.2,0.53,7,0,3.1,33.36,6.04
10/26/2000,9.21,1.9,52,0,27,33.92,2.99
10/27/2000,8.19,1.87,63,0,27.9,33.99,3.45
10/28/2000,17.59,0.45,3,0,0,33.35,5.75
10/29/2000,17.25,0.67,3,0,0,33.37,5.72
10/30/2000,15.95,0.45,2,0,0,33.43,5.93
1/7/2001,14.15,0.4,3,0,0,33.15,6.16
1/8/2001,10.04,1.34,23,0,14.2,33.59,4.77
1/9/2001,9.13,2.11,50,0,24.4,33.95,3.52
1/10/2001,17.64,0.35,3,0,0,33.32,5.69
1/11/2001,17.56,0.29,2,0,0,33.52,5.77
1/12/2001,17.06,0.29,2,0,0,33.67,5.77
1/13/2001,16.82,0.27,2,0,0,33.72,5.82
1/14/2001,10.75,1.2,25,0,15,33.62,3.25
1/15/2001,9.53,1.84,48,0,24,33.92,2.28
1/16/2001,16.54,0.27,2,0,0,33.53,5.76
1/17/2001,16.52,0.32,2,0,0.2,33.53,5.82
1/18/2001,15.54,0.32,2,0,0,33.49,5.98
1/19/2001,12.78,0.69,10,0.18,5.9,33.42,5.55
1/20/2001,9.11,2,54,0,29.7,33.96,3.22
1/21/2001,16.54,0.27,2,0,0,33.49,5.75
1/22/2001,16.54,0.27,2,0,0,33.49,5.84
1/23/2001,16.44,0.35,2,0,0,33.46,5.78
4/6/2001,14.75,0.35,3,0,0,33.33,6.07
4/7/2001,9.43,1.71,45,0,27.1,33.83,3.56
4/8/2001,8.83,2,62,0,30.5,34.03,3.04
4/9/2001,16.57,0.59,3,0,0,33.42,5.87
4/9/2001,16.57,0.35,3,0,0,33.42,5.76
4/10/2001,14.8,0.32,3,0,0,33.31,5.78
4/10/2001,10.01,1.55,38,0,23.4,33.87,3.66
4/11/2001,10.12,2.32,63,0,32.2,34.25,2.11
4/11/2001,16.93,0.35,3,0,1.1,33.44,5.74
4/12/2001,16.93,0.29,2,0,1.8,33.44,5.79
4/12/2001,16.93,0.27,3,0,1.5,33.45,5.72
4/13/2001,15.91,0.32,3,0,0.8,33.46,5.94
4/14/2001,10.25,1.28,29,0.03,16.4,33.65,4.24
4/15/2001,10.44,2.24,62,0,25.9,34.25,1.98
4/16/2001,17.03,0.35,3,0,0,33.27,5.73
4/17/2001,16.95,0.32,3,0,0,33.27,5.72
4/18/2001,15.89,0.32,3,0,0,33.23,5.92
4/19/2001,14.63,0.35,3,0,0,33.17,6.08
4/20/2001,10.81,0.88,19,0,8.7,33.62,4.94
4/21/2001,9.39,2.14,56,0,22.8,33.94,3.18
4/22/2001,17.54,0.4,3,0,0,33.27,5.7
4/23/2001,17.25,0.37,3,0,0,33.26,5.71
7/10/2001,17.07,0.24,3,0,0,33.65,5.8
7/11/2001,16.78,0.32,3,0,0,33.68,5.78
7/12/2001,10.97,1.09,23,0,11.5,33.61,4.43
7/13/2001,9.64,1.74,43,0,19.8,33.93,3.72
7/14/2001,17.22,0.75,3,0.09,0.4,33.553,5.81
7/15/2001,16.07,0.51,3,0.17,0,33.521,5.92
7/16/2001,15.89,0.51,3.1,0.18,0.1,33.535,5.9
7/17/2001,14.14,0.64,4.6,0.24,2.1,33.669,5.72
7/18/2001,12.6,0.91,7.4,0.26,5.7,33.789,5.49
7/19/2001,10.39,1.74,20.3,0.2,20,34.149,3.79
7/20/2001,10.01,2.07,26.7,0.16,24.1,34.224,3.11
7/21/2001,9.75,2.4,31.6,0.14,26.8,34.213,2.58
7/22/2001,9.39,2.65,34.6,0.13,28.1,34.115,2.37
7/23/2001,9.33,2.68,35,0.13,28.2,34.092,2.36
7/24/2001,8.88,2.68,39.8,0.12,29.3,34.042,2.09
7/25/2001,17.08,0.68,3,0.04,0.9,33.706,5.79
7/26/2001,16.85,0.72,4,0.09,0.9,33.7,5.87
10/25/2001,16.84,0.72,4.1,0.09,1,33.699,5.84
10/26/2001,16.38,0.76,4.6,0.08,1.7,33.696,5.54
10/27/2001,15.27,0.84,5.6,0.09,2.9,33.697,5.15
10/28/2001,10.82,1.94,18.4,0.26,16.8,33.71,4.13
10/29/2001,9.72,2.4,26.3,0.11,23.5,33.747,3.37
10/30/2001,9.47,2.64,30.8,0.04,25.7,33.811,2.86
10/31/2001,9.3,2.71,33.8,0.03,27,33.902,2.59
11/1/2001,9.02,2.73,36.6,0.03,28.2,34.021,2.41
11/2/2001,8.97,2.73,37,0.03,28.4,34.043,2.39
11/3/2001,8.45,3.01,44.5,0.02,31,34.091,1.83
11/4/2001,16.46,0.63,2,0,0.1,33.512,5.81
11/5/2001,16.38,1,2,0.03,0,33.508,5.89
11/6/2001,16.21,1,2.1,0.03,0.1,33.505,5.95
11/7/2001,14.31,0.95,3.2,0.06,1.3,33.473,6.39
11/8/2001,12.3,0.91,4.8,0.12,3.3,33.456,6.41
1/24/2002,11,1.47,13,0.26,12.8,33.494,4.76
1/25/2002,10.86,1.59,14.2,0.25,14,33.5,4.57
1/26/2002,9.79,2.31,27.5,0.02,24.1,33.608,3.14
1/27/2002,9.5,2.55,31.4,0.01,25.6,33.664,2.82
1/28/2002,9.21,2.8,34.5,0.01,26.4,33.72,2.58
1/29/2002,8.61,2.87,40.6,0.01,28.4,33.835,2.3
1/30/2002,8.19,3.32,46.9,0.01,30.8,33.954,1.83
1/31/2002,16.19,0.42,5,0.01,0,33.59,6.67
2/1/2002,14.73,0.47,3,0,0,33.48,6.79
2/2/2002,12.88,0.85,6.7,0.08,5.6,33.472,5.84
2/3/2002,10.66,1.56,17,0.07,16.6,33.65,4.18
2/4/2002,10.2,2.06,26,0.03,20.1,33.707,2.65
2/5/2002,10.13,2.31,30.4,0.04,23.7,33.764,2.36
2/6/2002,10.1,2.38,31,0.04,25,33.822,2.3
2/7/2002,10.04,2.42,31.4,0.03,25.4,33.88,2.23
2/8/2002,18.25,0.47,1,0,0,33.61,5.72
2/9/2002,18.26,0.47,2,0,0,33.61,5.79
3/28/2002,16,0.62,2.5,0.02,0.5,33.539,6.11
3/29/2002,11.99,0.86,6,0.17,6,33.42,5.74
3/29/2002,11.11,1.61,16.7,0.11,16.7,33.475,3.78
3/30/2002,10.48,1.99,23.5,0.04,22,33.531,2.95
3/31/2002,10.07,2.21,28.3,0.01,24.3,33.588,2.59
4/1/2002,9.83,2.45,33.1,0,26.3,33.647,2.16
4/2/2002,9.38,2.77,40.3,0,28.9,33.77,1.5
4/3/2002,18.22,0.49,2,0,0,33.58,5.63
4/3/2002,18.22,0.51,2,0,0,33.58,5.7
4/4/2002,18.14,0.51,2,0,0,33.581,5.71
4/4/2002,17.05,0.51,2,0,0,33.593,5.83
4/5/2002,15.37,0.53,2.3,0.01,0.2,33.608,5.86
4/5/2002,12.23,0.94,8.4,0.1,3.5,33.648,5.42
4/6/2002,10.59,2.14,25.4,0.04,21.8,33.828,2.79
4/6/2002,10.32,2.36,30.2,0.02,24,33.98,2.33
4/7/2002,10.04,2.49,34,0.01,25.7,34.16,2.02
4/7/2002,9.95,2.49,34.3,0.01,25.8,34.161,2.04
4/8/2002,17.79,0.47,2,0,0,33.628,5.74
4/8/2002,17.16,0.51,2,0,0,33.625,5.74
4/9/2002,17.15,0.51,2,0,0,33.625,5.76
4/9/2002,16.83,0.51,2,0,0,33.627,5.95
4/10/2002,15.91,0.55,2.5,0.01,0.6,33.635,6.05
4/10/2002,10.99,1.4,14.4,0.24,13.8,33.669,4.37
4/11/2002,10.07,1.87,22.6,0.08,20.1,33.736,3.46
4/11/2002,9.73,2.07,27.2,0.03,22.1,33.825,3.01
4/12/2002,9.35,2.18,30.5,0.02,23.4,33.927,2.89
4/12/2002,8.89,2.28,33.9,0.03,24.5,34.035,2.83
7/2/2002,8.87,2.28,34,0.03,24.5,34.039,2.83
7/3/2002,8.4,2.69,43.8,0.01,25.4,34.112,2.01
7/4/2002,17.07,0.4,2,0.01,0,33.453,5.71
7/5/2002,17.05,0.51,2,0.03,0,33.451,5.58
7/6/2002,16.82,0.52,2,0.02,0,33.434,5.67
7/7/2002,13.8,0.58,3,0.04,0.7,33.412,6.39
7/8/2002,11.27,1.15,10.5,0.06,10.6,33.447,5.29
7/9/2002,9.99,1.6,17.7,0.04,17.5,33.485,4.27
7/9/2002,9.47,1.92,24.1,0.03,21.6,33.527,3.56
7/10/2002,9.2,2.18,30.1,0.02,24.5,33.572,3.03
7/10/2002,8.32,2.43,39.3,0.02,27.4,33.672,2.7
7/11/2002,17.01,0.56,2,0,0,33.425,5.69
7/11/2002,16.92,0.52,2,0.01,0,33.402,5.68
7/12/2002,13.55,0.61,3,0.04,0.4,33.366,6.35
7/12/2002,13.46,0.62,3.1,0.05,0.6,33.367,6.33
7/13/2002,11.9,0.98,8,0.22,7.4,33.404,5.38
7/14/2002,10.73,1.42,14.4,0.11,14.6,33.444,4.48
7/15/2002,9.74,1.81,22.3,0.03,20.5,33.487,3.84
7/16/2002,9.07,2.1,29.9,0.02,24.8,33.533,3.33
7/17/2002,8.52,2.37,37.7,0.01,27.3,33.636,2.66
11/10/2002,16.76,0.49,2,0,0,33.451,6.14
11/11/2002,16.65,0.51,2,0,0,33.449,5.86
11/12/2002,16.63,0.51,2,0,0,33.447,5.87
11/13/2002,16.36,0.51,2,0,0,33.428,5.91
11/14/2002,16.02,0.51,1.9,0,0,33.406,5.96
11/15/2002,15.22,0.51,1,0,0,33.359,5.92
11/16/2002,15.13,0.52,1.1,0.01,0.1,33.359,5.92
11/17/2002,12.6,0.83,5.8,0.26,5.1,33.365,5.58
11/18/2002,10.66,1.38,14.1,0.11,14,33.384,4.62
11/19/2002,9.65,1.8,21.6,0.02,20.4,33.413,3.86
11/20/2002,9.16,2.03,27.4,0.01,23.5,33.452,3.46
11/21/2002,8.32,2.2,36.5,0,26.7,33.556,2.98
11/22/2002,16.98,0.49,2,0,0,33.276,5.67
11/23/2002,16.74,0.49,2,0.02,0,33.261,5.55
11/24/2002,16.73,0.49,2,0.02,0,33.257,5.55
11/25/2002,16.53,0.49,2,0.01,0,33.22,5.62
1/30/2003,16.12,0.49,2,0.01,0,33.183,5.8
1/31/2003,14.38,0.49,2,0.02,0,33.115,6.18
2/1/2003,14.32,0.49,2,0.02,0,33.122,6.17
2/2/2003,13.22,0.51,2,0,0,33.284,5.96
2/3/2003,12.97,0.6,3.2,0.12,1.7,33.432,5.68
2/4/2003,11.93,0.83,6.9,0.12,6.2,33.567,5.25
2/5/2003,10.38,1.16,12.5,0.03,12,33.689,4.72
2/6/2003,9.26,1.81,25.7,0.02,21.4,33.893,3.56
2/7/2003,17.89,0.42,2,0,0,33.58,5.63
2/8/2003,17.73,0.47,2,0,0,33.58,5.72
2/9/2003,17.6,0.47,2,0,0,33.582,5.76
2/10/2003,16.16,0.48,2,0,0,33.603,6.05
2/11/2003,14.45,0.5,2.2,0.01,0.2,33.627,6.19
2/12/2003,12.42,0.85,7.2,0.16,5.7,33.685,5.4
2/13/2003,10.46,1.25,13.2,0.05,13.4,33.778,4.58
2/14/2003,10.06,1.83,23.1,0.05,21.1,33.897,3.4
2/15/2003,10.16,2.25,31,0.14,25.6,34.045,2.24
4/3/2003,10.49,2.5,35.6,0.23,27.3,34.226,1.37
4/4/2003,10.54,2.52,36,0.24,27.4,34.25,1.28
4/5/2003,10.65,2.95,38.8,0.04,28.7,34.267,0.83
4/6/2003,18.96,0.47,1,0,0,33.63,5.48
4/7/2003,18.53,0.49,1,0,0,33.62,5.49
4/8/2003,18.46,0.49,1,0,0,33.619,5.5
4/9/2003,17.72,0.48,1.5,0,0,33.607,5.62
4/10/2003,16.84,0.47,2,0,0,33.601,5.78
4/11/2003,14.99,0.5,2.1,0.01,0.1,33.607,6.04
4/11/2003,12.62,0.85,6.9,0.15,5.2,33.646,5.48
4/12/2003,11.14,1.32,14.2,0.08,12.8,33.719,4.39
4/13/2003,10.15,1.75,21.8,0.02,19.6,33.822,3.52
4/13/2003,9.41,2.07,28.3,0,24.2,33.952,3.04
4/14/2003,9.34,2.1,29,0,24.6,33.97,3
4/15/2003,8.79,2.38,35.6,0,26.6,34.069,2.69
4/16/2003,18.01,0.49,2,0,0,33.44,5.79
4/16/2003,17.8,0.49,1,0,0,33.46,5.92
